Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
163,COM,Comoros,Moroni,Africa,836774.0,806166.0,730216.0,656024.0,536758.0,431119.0,328328.0,242351.0,1862.0,449.3953,1.0184,0.01
223,COK,Cook Islands,Avarua,Oceania,17011.0,17029.0,17695.0,17212.0,15897.0,17123.0,17651.0,20470.0,236.0,72.0805,1.0005,0.0
124,CRI,Costa Rica,San José,North America,5180829.0,5123105.0,4895242.0,4622252.0,3979193.0,3158253.0,2414303.0,1855697.0,51100.0,101.3861,1.0052,0.06
130,HRV,Croatia,Zagreb,Europe,4030358.0,4096868.0,4254815.0,4368682.0,4548434.0,4873707.0,4680144.0,4492638.0,56594.0,71.2153,0.9927,0.05
85,CUB,Cuba,Havana,North America,11212191.0,11300698.0,11339894.0,11290417.0,11105791.0,10626680.0,9809107.0,8869636.0,109884.0,102.0366,0.9961,0.14
189,CUW,Curacao,Willemstad,North America,191163.0,189288.0,169572.0,159380.0,141424.0,155446.0,156851.0,150385.0,444.0,430.5473,1.0043,0.0
158,CYP,Cyprus,Nicosia,Europe,1251488.0,1237537.0,1187280.0,1129686.0,948237.0,788500.0,679327.0,640804.0,9251.0,135.2814,1.0059,0.02
88,CZE,Czech Republic,Prague,Europe,10493986.0,10530953.0,10523798.0,10464749.0,10234710.0,10301192.0,10270060.0,9795744.0,78865.0,133.0627,0.9984,0.13
115,DNK,Denmark,Copenhagen,Europe,5882261.0,5825641.0,5677796.0,5550849.0,5340655.0,5144623.0,5125392.0,4922963.0,43094.0,136.4984,1.0048,0.07
160,DJI,Djibouti,Djibouti,Africa,1120849.0,1090156.0,1006259.0,919199.0,742033.0,577173.0,324121.0,144379.0,23200.0,48.3125,1.0138,0.01
204,DMA,Dominica,Roseau,North America,72737.0,71995.0,70007.0,68755.0,68346.0,69481.0,72978.0,68895.0,751.0,96.8535,1.0045,0.0
84,DOM,Dominican Republic,Santo Domingo,North America,11228821.0,10999664.0,10405832.0,9775755.0,8540791.0,7129004.0,5755800.0,4475871.0,48671.0,230.7087,1.01,0.14
15,COD,DR Congo,Kinshasa,Africa,99010212.0,92853164.0,78656904.0,66391257.0,48616317.0,35987541.0,26708686.0,20151733.0,2344858.0,42.2244,1.0325,1.24
67,ECU,Ecuador,Quito,South America,18001000.0,17588595.0,16195902.0,14989585.0,12626507.0,10449837.0,8135845.0,6172215.0,276841.0,65.0229,1.0114,0.23
14,EGY,Egypt,Cairo,Africa,110990103.0,107465134.0,97723799.0,87252413.0,71371371.0,57214630.0,43748556.0,34781986.0,1002450.0,110.7188,1.0158,1.39
112,SLV,El Salvador,San Salvador,North America,6336392.0,6292731.0,6231066.0,6114034.0,5958482.0,5367179.0,4508992.0,3619090.0,21041.0,301.145,1.0035,0.08
152,GNQ,Equatorial Guinea,Malabo,Africa,1674908.0,1596049.0,6231066.0,1094524.0,684977.0,465549.0,282509.0,316955.0,28051.0,59.7094,1.0247,0.02
132,ERI,Eritrea,Asmara,Africa,3684032.0,3555868.0,3340006.0,3147727.0,2392880.0,2149960.0,1657982.0,1272748.0,117600.0,31.3268,1.0176,0.05
156,EST,Estonia,Tallinn,Europe,1326062.0,1329444.0,1314657.0,1331535.0,1396877.0,1570674.0,1476983.0,1361999.0,45227.0,29.3201,0.998,0.02
159,SWZ,Eswatini,Mbabane,Africa,1326062.0,1180655.0,1133936.0,1099920.0,1030496.0,854011.0,598564.0,442865.0,17364.0,69.2047,1.0079,0.02
12,ETH,Ethiopia,Addis Ababa,Africa,123379924.0,117190911.0,102471895.0,89237791.0,67031867.0,47878073.0,34945469.0,28308246.0,1104300.0,111.7268,1.0257,1.55
231,FLK,Falkland Islands,Stanley,South America,3780.0,3747.0,3408.0,3187.0,3080.0,2332.0,2240.0,2274.0,12173.0,0.3105,1.0043,0.0
209,FRO,Faroe Islands,Tórshavn,Europe,53090.0,52415.0,48816.0,48410.0,45660.0,47479.0,43054.0,38416.0,1393.0,38.112,1.0038,0.0
162,FJI,Fiji,Suva,Oceania,929766.0,920422.0,917200.0,905169.0,832509.0,780430.0,644582.0,527634.0,18272.0,50.8847,1.0056,0.01
118,FIN,Finland,Helsinki,Europe,5540745.0,5529468.0,5479461.0,5363271.0,5176209.0,4986545.0,4779418.0,4606621.0,338424.0,16.3722,1.0009,0.07
23,FRA,France,Paris,Europe,64626628.0,64480053.0,63809769.0,62444567.0,58665453.0,56412897.0,53713830.0,50523586.0,551695.0,117.1419,1.0015,0.81
184,GUF,French Guiana,Cayenne,South America,304557.0,290969.0,257026.0,228453.0,164351.0,113931.0,66825.0,46484.0,83534.0,3.6459,1.0239,0.0
183,PYF,French Polynesia,Papeete,Oceania,306279.0,301920.0,291787.0,283788.0,250927.0,211089.0,163591.0,117891.0,4167.0,73.5011,1.0074,0.0
146,GAB,Gabon,Libreville,Africa,2388992.0,2292573.0,2028517.0,1711105.0,1272935.0,983028.0,749078.0,597192.0,267668.0,8.9252,1.0204,0.03
142,GMB,Gambia,Banjul,Africa,2705992.0,2573995.0,2253133.0,1711105.0,1272935.0,983028.0,749078.0,597192.0,10689.0,253.1567,1.025,0.03
131,GEO,Georgia,Tbilisi,Asia,3744385.0,3765912.0,3771132.0,1711105.0,1272935.0,983028.0,749078.0,597192.0,69700.0,53.7214,0.9964,0.05
19,DEU,Germany,Berlin,Europe,83369843.0,83328988.0,82073226.0,81325090.0,81551677.0,79370196.0,77786703.0,78294583.0,357114.0,233.4544,0.9995,1.05
47,GHA,Ghana,Accra,Africa,33475870.0,32180401.0,28870939.0,25574719.0,19665502.0,15446982.0,11865246.0,8861895.0,238533.0,140.3406,1.0196,0.42
219,GIB,Gibraltar,Gibraltar,Europe,32649.0,32709.0,32520.0,31262.0,27741.0,27317.0,28734.0,26685.0,6.0,5441.5,0.9994,0.0
90,GRC,Greece,Athens,Europe,10384971.0,10512232.0,10806641.0,11033783.0,11038109.0,10302255.0,9307148.0,8544873.0,131990.0,78.68,0.9942,0.13
208,GRL,Greenland,Nuuk,North America,56466.0,56026.0,55895.0,56351.0,56184.0,55599.0,50106.0,45434.0,2166086.0,0.0261,1.004,0.0
193,GRD,Grenada,Saint George's,North America,125438.0,123663.0,118980.0,114039.0,107432.0,99047.0,94838.0,98794.0,344.0,364.6453,1.0066,0.0
178,GLP,Guadeloupe,Basse-Terre,North America,395752.0,395642.0,399089.0,403072.0,424067.0,391951.0,334234.0,318310.0,1628.0,243.0909,0.9992,0.0
191,GUM,Guam,Hagåtña,Oceania,171774.0,169231.0,167978.0,164905.0,160188.0,138263.0,110286.0,88300.0,549.0,312.8852,1.0073,0.0
68,GTM,Guatemala,Guatemala City,North America,17843908.0,17362718.0,16001107.0,14543121.0,11735894.0,9084780.0,6987767.0,5453208.0,108889.0,163.8725,1.0134,0.22
207,GGY,Guernsey,Saint Peter Port,Europe,63301.0,62794.0,61629.0,60782.0,59114.0,57727.0,52860.0,52656.0,78.0,811.5513,1.0037,0.0
75,GIN,Guinea,Conakry,Africa,13859341.0,13205153.0,11625998.0,10270728.0,8336967.0,6354145.0,4972609.0,4222374.0,245857.0,56.3716,1.0242,0.17
149,GNB,Guinea-Bissau,Bissau,Africa,2105566.0,2015828.0,1788919.0,1567220.0,1230849.0,973551.0,831462.0,591663.0,36125.0,58.2856,1.0218,0.03
164,GUY,Guyana,Georgetown,South America,808726.0,797202.0,755031.0,747932.0,759051.0,747116.0,778176.0,705261.0,214969.0,3.7621,1.0052,0.01
82,HTI,Haiti,Port-au-Prince,North America,11584996.0,11306801.0,10563757.0,9842880.0,8360225.0,6925331.0,5646676.0,4680812.0,27750.0,417.4773,1.012,0.15
89,HND,Honduras,Tegucigalpa,North America,10432860.0,10121763.0,9294505.0,8450933.0,6656725.0,5053234.0,3777990.0,2782753.0,112492.0,92.7431,1.015,0.13
104,HKG,Hong Kong,Hong Kong,Asia,7488865.0,7500958.0,7399838.0,7132438.0,6731195.0,5838574.0,4978544.0,3955072.0,1104.0,6783.3922,0.9992,0.09
94,HUN,Hungary,Budapest,Europe,9967308.0,9750573.0,9844246.0,9986825.0,10202055.0,5838574.0,4978544.0,10315366.0,93028.0,107.1431,1.0265,0.12
179,ISL,Iceland,Reykjavík,Europe,372899.0,366669.0,331060.0,318333.0,281462.0,5838574.0,4978544.0,204468.0,103000.0,3.6204,1.0069,0.0
2,IND,India,New Delhi,Asia,1417173173.0,1396387127.0,1322866505.0,1240613620.0,1059633675.0,5838574.0,4978544.0,557501301.0,3287590.0,431.0675,1.0068,17.77
4,IDN,Indonesia,Jakarta,Asia,275501339.0,271857970.0,259091970.0,244016173.0,214072421.0,182159874.0,148177096.0,115228394.0,1904569.0,144.6529,1.0064,3.45
17,IRN,Iran,Tehran,Asia,88550570.0,87290193.0,81790841.0,75373855.0,65544383.0,55793629.0,38520664.0,28449705.0,1648195.0,53.7258,1.0071,1.11
35,IRQ,Iraq,Baghdad,Asia,44496122.0,42556984.0,37757813.0,31264875.0,24628858.0,17658381.0,13653369.0,9811347.0,438317.0,101.5158,1.0221,0.56
125,IRL,Ireland,Dublin,Europe,5023109.0,4946119.0,4665760.0,4524585.0,3768950.0,3485374.0,3391387.0,2937637.0,70273.0,71.4799,1.0073,0.06
202,IMN,Isle of Man,Douglas,Europe,84519.0,84046.0,83593.0,83828.0,75562.0,68865.0,64022.0,55298.0,572.0,147.7605,1.003,0.0
98,ISR,Israel,Jerusalem,Asia,9038309.0,8757489.0,8007778.0,7328445.0,6116958.0,4803254.0,3744608.0,2907307.0,20770.0,435.1617,1.0155,0.11
25,ITA,Italy,Rome,Europe,59037474.0,59500579.0,60232906.0,59822450.0,56966397.0,56756561.0,56329482.0,53324036.0,301336.0,195.9191,0.9966,0.74
52,CIV,Ivory Coast,Yamoussoukro,Africa,28160542.0,26811790.0,23596741.0,21120042.0,16799670.0,11910540.0,8303809.0,5477086.0,322463.0,95.34675,0.9959666666666667,0.35
139,JAM,Jamaica,Kingston,North America,2827377.0,2820436.0,2794445.0,2733896.0,2612205.0,2392030.0,2135546.0,1859091.0,10991.0,95.34675,0.9953333333333334,0.04
11,JPN,Japan,Tokyo,Asia,123951692.0,125244761.0,127250933.0,128105431.0,126803861.0,123686321.0,117624196.0,105416839.0,377930.0,327.9753,0.9947,1.55
195,JEY,Jersey,Saint Helier,Europe,110778.0,108319.0,100561.0,96151.0,86192.0,82874.0,75124.0,68347.0,116.0,954.9828,1.0106,0.0
83,JOR,Jordan,Amman,Asia,11285869.0,10928721.0,9494246.0,6931258.0,5056174.0,3480587.0,2216903.0,1557374.0,89342.0,126.3221,1.0123,0.14
66,KAZ,Kazakhstan,Nursultan,Asia,19397998.0,18979243.0,17835909.0,16627837.0,15236253.0,16866563.0,14172710.0,12265305.0,2724900.0,7.1188,1.0105,0.24
27,KEN,Kenya,Nairobi,Africa,54027487.0,51985780.0,46851488.0,41517895.0,30851606.0,23162269.0,16187124.0,11473087.0,580367.0,93.0919,1.0193,0.68
192,KIR,Kiribati,Tarawa,Oceania,131232.0,126463.0,116707.0,107995.0,88826.0,75124.0,60813.0,57437.0,811.0,161.815,1.0183,0.0
129,KWT,Kuwait,Kuwait City,Asia,4268873.0,4360444.0,3908743.0,2943356.0,1934901.0,1674938.0,1493870.0,802786.0,17818.0,239.5821,1.0044,0.05
110,KGZ,Kyrgyzstan,Bishkek,Asia,6630623.0,6424874.0,5914980.0,5483774.0,4935182.0,4394734.0,3691209.0,3016384.0,199951.0,33.1612,1.0158,0.08
103,LAO,Laos,Vientiane,Asia,7529475.0,7319399.0,6787419.0,6323418.0,5430853.0,4314443.0,3297519.0,2675283.0,236800.0,31.7968,1.0141,0.09
151,LVA,Latvia,Riga,Europe,1850651.0,1897052.0,1991955.0,2101530.0,2392530.0,2689391.0,2572037.0,2397414.0,64559.0,28.666,0.9876,0.02
119,LBN,Lebanon,Beirut,Asia,5489739.0,5662923.0,6398940.0,4995800.0,4320642.0,3593700.0,2963702.0,2381791.0,10452.0,525.2334,0.9816,0.07
147,LSO,Lesotho,Maseru,Africa,2305825.0,2254100.0,2118521.0,2022747.0,1998630.0,1798997.0,1407672.0,1023481.0,30355.0,75.962,1.0107,0.03
121,LBR,Liberia,Monrovia,Africa,5302681.0,5087584.0,4612329.0,4019956.0,2895224.0,2209731.0,1932169.0,1463563.0,111369.0,47.6136,1.021,0.07
107,LBY,Libya,Tripoli,Africa,6812341.0,6653942.0,6192235.0,6491988.0,5154790.0,4236983.0,2962720.0,1909177.0,1759540.0,3.8717,1.0114,0.09
216,LIE,Liechtenstein,Vaduz,Europe,39327.0,38756.0,37355.0,35926.0,33026.0,28765.0,25003.0,21089.0,160.0,245.7937,1.0074,0.0
141,LTU,Lithuania,Vilnius,Europe,2750055.0,2820267.0,2963765.0,3139019.0,3599637.0,3785847.0,3521206.0,3210147.0,65300.0,42.1142,0.9869,0.03
168,LUX,Luxembourg,Luxembourg,Europe,647599.0,630399.0,569408.0,507070.0,435628.0,381267.0,363741.0,339342.0,2586.0,250.425,1.0129,0.01
167,MAC,Macau,Concelho de Macau,Asia,695168.0,676283.0,615239.0,557297.0,431896.0,350227.0,245332.0,247284.0,30.0,23172.2667,1.0125,0.01
50,MDG,Madagascar,Antananarivo,Africa,29611714.0,28225177.0,24850912.0,21731053.0,16216431.0,11882762.0,8948162.0,6639751.0,587041.0,50.4423,1.0241,0.37
62,MWI,Malawi,Lilongwe,Africa,20405317.0,19377061.0,16938942.0,14718422.0,11229387.0,9539665.0,6267369.0,4625141.0,118484.0,172.22,1.0259,0.26
45,MYS,Malaysia,Kuala Lumpur,Asia,33938221.0,33199993.0,31068833.0,14718422.0,11229387.0,17517054.0,13215707.0,10306508.0,330803.0,102.5934,1.0109,0.43
174,MDV,Maldives,Malé,Asia,523787.0,514438.0,435582.0,14718422.0,11229387.0,224957.0,164887.0,123243.0,300.0,1745.9567,1.0045,0.01
59,MLI,Mali,Bamako,Africa,22593590.0,21224040.0,18112907.0,15529181.0,11239101.0,8945026.0,7372581.0,6153587.0,1240192.0,18.2178,1.0314,0.28
173,MLT,Malta,Valletta,Europe,533286.0,515357.0,456579.0,418755.0,399212.0,365392.0,333587.0,315414.0,316.0,1687.6139,1.0124,0.01
215,MHL,Marshall Islands,Majuro,Oceania,41569.0,43413.0,49410.0,53416.0,54224.0,46047.0,31988.0,23969.0,181.0,229.663,0.9886,0.0
180,MTQ,Martinique,Fort-de-France,North America,367507.0,370391.0,383515.0,392181.0,432543.0,374271.0,333786.0,326428.0,1128.0,325.8041,0.9965,0.0
126,MRT,Mauritania,Nouakchott,Africa,4736139.0,4498604.0,3946220.0,3419461.0,2695003.0,2006027.0,1506694.0,1122198.0,1030700.0,4.5951,1.0263,0.06
157,MUS,Mauritius,Port Louis,Africa,1299469.0,1297828.0,1293153.0,1283330.0,1215930.0,1090290.0,954865.0,830115.0,2040.0,636.9946,1.0004,0.02
182,MYT,Mayotte,Mamoudzou,Africa,326101.0,305587.0,249545.0,211786.0,159215.0,92659.0,52233.0,35383.0,374.0,871.9278,1.0319,0.0
10,MEX,Mexico,Mexico City,North America,127504125.0,125998302.0,120149897.0,112532401.0,97873442.0,81720428.0,67705186.0,50289306.0,1964375.0,64.9082,1.0063,1.6
194,FSM,Micronesia,Palikir,Oceania,114164.0,112106.0,109462.0,107588.0,111709.0,98603.0,76299.0,58989.0,702.0,162.6268,1.0091,0.0
135,MDA,Moldova,Chisinau,Europe,3272996.0,3084847.0,3277388.0,3678186.0,4251573.0,4480199.0,4103240.0,3711140.0,33846.0,96.7026,1.0691,0.04
217,MCO,Monaco,Monaco,Europe,36469.0,36922.0,36760.0,33178.0,32465.0,30329.0,27076.0,24270.0,2.0,18234.5,0.9941,0.0
134,MNG,Mongolia,Ulaanbaatar,Asia,3398366.0,3294335.0,2964749.0,2702520.0,2450979.0,2161433.0,1697780.0,1293880.0,1564110.0,2.1727,1.0151,0.04
169,MNE,Montenegro,Podgorica,Europe,627082.0,629048.0,633966.0,631044.0,633324.0,621442.0,589324.0,530268.0,13812.0,45.4012,0.9988,0.01
230,MSR,Montserrat,Brades,North America,4390.0,4500.0,5059.0,4938.0,5138.0,10805.0,11452.0,11402.0,102.0,43.0392,0.9939,0.0
40,MAR,Morocco,Rabat,Africa,37457971.0,36688772.0,34680458.0,32464865.0,28554415.0,24570814.0,19678444.0,15274351.0,446550.0,83.883,1.0103,0.47
48,MOZ,Mozambique,Maputo,Africa,32969517.0,31178239.0,34680458.0,32464865.0,17768505.0,13303459.0,11413587.0,8411676.0,801590.0,41.1302,1.0278,0.41
26,MMR,Myanmar,Nay Pyi Taw,Asia,54179306.0,53423198.0,51483949.0,49390988.0,45538332.0,40099553.0,33465781.0,27284112.0,676578.0,80.0784,1.0071,0.68
145,NAM,Namibia,Windhoek,Africa,2567012.0,2489098.0,2282704.0,2099271.0,1819141.0,1369011.0,975994.0,754467.0,825615.0,3.1092,1.0146,0.03
225,NRU,Nauru,Yaren,Oceania,12668.0,12315.0,11185.0,10241.0,10377.0,9598.0,7635.0,6663.0,21.0,603.2381,1.0125,0.0
49,NPL,Nepal,Kathmandu,Asia,30547580.0,29348627.0,27610325.0,27161567.0,24559500.0,19616530.0,15600442.0,12501285.0,147181.0,207.5511,1.0171,0.38
71,NLD,Netherlands,Amsterdam,Europe,17564014.0,17434557.0,17041107.0,16617116.0,15899135.0,14944548.0,14130387.0,13037686.0,41850.0,419.6897,1.0036,0.22
185,NCL,New Caledonia,Nouméa,Oceania,289950.0,286403.0,283032.0,261426.0,221537.0,177264.0,148599.0,110982.0,18575.0,15.6097,1.0075,0.0
123,NZL,New Zealand,Wellington,Oceania,5185288.0,5061133.0,4590590.0,4346338.0,3855266.0,3397389.0,3147168.0,2824061.0,270467.0,19.1716,1.0108,0.07
106,NIC,Nicaragua,Managua,North America,6948392.0,6755895.0,6298598.0,5855734.0,5123222.0,4227820.0,3303309.0,2444767.0,130373.0,53.2962,1.0143,0.09
54,NER,Niger,Niamey,Africa,26207977.0,24333639.0,20128124.0,16647543.0,11622665.0,8370647.0,6173177.0,4669708.0,1267000.0,20.6851,1.0378,0.33
6,NGA,Nigeria,Abuja,Africa,218541212.0,208327405.0,183995785.0,160952853.0,122851984.0,95214257.0,72951439.0,55569264.0,923768.0,236.5759,1.0241,2.74
232,NIU,Niue,Alofi,Oceania,1934.0,1942.0,1847.0,1812.0,2074.0,2533.0,3637.0,5185.0,260.0,7.4385,0.9985,0.0
56,PRK,North Korea,Pyongyang,Asia,26069416.0,25867467.0,25258015.0,24686435.0,23367059.0,20799523.0,17973650.0,14996879.0,120538.0,216.2755,1.0038,0.33
150,MKD,North Macedonia,Skopje,Europe,2093599.0,2111072.0,2107962.0,2093828.0,2037936.0,2044174.0,1907023.0,1656783.0,25713.0,81.4218,0.9954,0.03
210,NFK,Northern Mariana Islands,Saipan,Oceania,49551.0,49587.0,51514.0,54087.0,80338.0,48002.0,17613.0,10143.0,464.0,106.7909,1.0014,0.0
120,NOR,Norway,Oslo,Europe,49551.0,5379839.0,51514.0,4889741.0,4491202.0,4241636.0,4085776.0,3875546.0,323802.0,16.7828,1.0058,0.07
127,OMN,Oman,Muscat,Asia,4576298.0,4543399.0,4191776.0,2881914.0,2344253.0,1804524.0,1017462.0,670693.0,309500.0,14.7861,1.0123,0.06
5,PAK,Pakistan,Islamabad,Asia,235824862.0,227196741.0,210969298.0,194454498.0,154369924.0,115414069.0,80624057.0,59290872.0,881912.0,267.4018,1.0191,2.96
222,PLW,Palau,Ngerulmud,Oceania,235824862.0,17972.0,17794.0,18540.0,19726.0,15293.0,12252.0,11366.0,459.0,39.3355,1.0017,0.0
122,PSE,Palestine,Ramallah,Asia,5250072.0,5019401.0,4484614.0,3992278.0,3139954.0,2124609.0,1453620.0,1118241.0,6220.0,844.063,1.0227,0.07
128,PAN,Panama,Panama City,North America,4408581.0,4294396.0,3957099.0,3623617.0,3001731.0,2449968.0,1956987.0,1516188.0,75417.0,58.4561,1.0132,0.06
93,PNG,Papua New Guinea,Port Moresby,Oceania,10142619.0,9749640.0,8682174.0,7583269.0,5508297.0,3864972.0,3104788.0,2489059.0,462840.0,21.9139,1.0194,0.13
